,09:00-10:00,10:00-11:00,11:00-12:00,13:00-14:00,14:00-15:00,15:00-16:00,16:00-17:00,18:00-19:00,19:00-20:00,20:00-21:00
2025/5/28,"A,C,D","A,C,D","A,B,C","B,C,D","B,C,D","B,C,D","A,C","A,C","A,C","A,B,C"
2025/5/29,"B,C,D","B,C,D","B,C,D","A,B,C","A,B,C","C,D","C,D","B,C,D","B,C,D","A,B,C"
2025/5/30,"A,B,C",,"C,D","C,D","B,C,D","B,C,D","B,D","C,D","A,C,D","A,C,D"
2025/5/31,"A,B,C","A,B","A,B","B,C,D","B,C,D","A,D","A,D","B,D","B,D","B,D"
2025/6/1,"B,C,D","B,C,D","B,C,D","C,D","B,C,D","B,D","C,D","C,D","C,D","C,D"
2025/6/2,"A,B,C","B,C","C,D","A,C,D","A,C,D","A,B","A,B","A,B","A,B","A,B"
2025/6/3,"B,C,D","B,C,D","A,C","A,C","A,C,D","A,C,D","A,B,C","B,D","B,C,D","A,C,D"
2025/6/4,"A,B,C","C,D",C,"B,C,D","B,C,D","B,C","B,D","A,B,C","A,B,C","A,B,C"
2025/6/5,"A,B","B,C,D","B,C,D","B,C,D","A,C,D","A,B","A,C,D","A,C,D","B,C,D","B,C,D"
2025/6/6,"B,C,D","A,C,D","A,C,D","A,B","A,B","A,B","C,D","A,C,D","A,C,D","A,B"
2025/6/7,"B,C,D","B,C,D","B,C,D","A,C,D","B,C,D","B,C,D","B,C,D","B,C,D","A,C,D","A,C,D"
2025/6/8,"A,B,C","A,B,C","C,D","B,C,D","B,C,D","A,C,D","A,C,D","A,B","A,B","A,B"
2025/6/9,"A,C,D","A,C,D","A,B,C","B,C,D","B,C,D","B,C,D","A,C","A,C","A,C","A,B,C"
2025/6/10,"B,C,D","B,C,D","B,C,D","A,B,C","A,B,C","C,D","C,D","B,C,D","B,C,D","A,B,C"
2025/6/11,"A,B,C","A,B","A,C,D","A,C,D","B,C","B,C,D","B,C,D","B,C,D","A,C,D","A,C,D"
2025/6/12,"A,B,C","A,B","A,B","B,C,D","B,C,D","A,C,D","A,C,D","A,B","A,B","A,B"
2025/6/13,"B,C,D","B,C,D","B,C,D","C,D","B,C,D","B,C,D","C,D","C,D","C,D","C,D"
2025/6/14,"A,B,C","A,B,C","C,D","A,C,D","A,C,D","A,B","A,B","A,B","A,B","A,B"
2025/6/15,"B,C,D","B,C,D","A,C","A,C","A,C,D","A,C,D","A,B,C","B,C,D","B,C,D","A,C,D"
2025/6/16,"A,B,C","C,D","C,D","B,C,D","B,C,D","B,C,D","B,C,D","A,B,C","A,B,C","A,B,C"
2025/6/17,"A,B","B,C,D","B,C,D","B,C,D","A,C,D","A,B","A,C,D","A,C,D","B,C,D","B,C,D"
2025/6/18,"B,C,D","A,C,D","A,C,D","A,B","A,B","A,B","C,D","A,C,D","A,C,D","A,B"
2025/6/19,"B,C,D","B,C,D","B,C,D","A,C,D","B,C","B,C","B,C","C,D","C,D","A,C,D"
2025/6/20,"A,B,C","A,B,C","C,D","B,C,D","B,C,D","A,C,D","A,C,D","A,B","A,B","A,B"
2025/6/21,"A,C,D","A,C,D","A,B,C","B,C,D","B,C,D","B,C,D","A,C","A,C","A,C","A,B,C"
2025/6/22,"B,C,D","B,C,D","B,C,D","A,B,C","A,B,C","C,D","C,D","B,C,D","B,C,D","A,B,C"
2025/6/23,"A,B,C","A,B","A,C,D","A,C,D","B,C","B,C","C,D","C,D","A,C,D","A,C,D"
2025/6/24,"A,B,C","A,B","A,B","B,C,D","B,C,D","A,C,D","A,C,D","A,B","A,B","A,B"
2025/6/25,"B,C,D","B,C,D","B,C,D","C,D","B,C,D","B,C,D","C,D","C,D","C,D","C,D"
2025/6/26,"A,B,C","A,B,C","C,D","A,C,D","A,C,D","A,B","A,B","A,B","A,B","A,B"
2025/6/27,"B,C,D","B,C,D","A,C","A,C","A,C,D","A,C,D","A,B,C","B,C,D","B,C,D","A,C,D"
2025/6/28,"A,B,C","C,D","C,D","B,C,D","B,C,D","B,C,D","B,C,D","A,B,C","A,B,C","A,B,C"
2025/6/29,"A,B","B,C,D","B,C,D","B,C,D","A,C,D","A,B","A,C,D","A,C,D","B,C,D","B,C,D"
2025/6/30,"B,C,D","A,C,D","A,C,D","A,B","A,B","A,B","C,D","A,C,D","A,C,D","A,B"
